id_support,operateur,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,date_activ,action,infos,is_zb,is_new
1924969,ORANGE,5G NR 2100, (CAP DAURAT) 81500 LAVAUR,81140,"43.6675,1.7422",Pylône autostable,25m,TOTEM,2025-12-29,ALL,,False,False
1942037,SFR,"LTE 1800, LTE 2100, 5G NR 2100",PROCHE LIGNE TGV SUD-EST (FORÊT PÉRUSSEL) 01140 PEYZIEUX SUR SAONE,01295,"46.1264,4.8439",Pylône autostable,30m,HIVORY,2025-12-31,ALL,,False,False
1945450,SFR,"LTE 700, LTE 2100, LTE 2600, 5G NR 2100",2 T R FERDINAND BUISSON 45200 MONTARGIS,45208,"47.9897,2.7308",Immeuble,21m,Société HLM,2025-12-31,ALL,,False,False
1966925,BOUYGUES TELECOM,5G NR 3500,CHEM COMMUNAL N°1 (LA CORBINIÈRE) 72380 LA GUIERCHE,72147,"48.1192,0.2125",Pylône autostable,33m,HIVORY,2025-12-23,ALL,,False,False
1966925,SFR,5G NR 3500,CHEM COMMUNAL N°1 (LA CORBINIÈRE) 72380 LA GUIERCHE,72147,"48.1192,0.2125",Pylône autostable,33m,HIVORY,2025-12-31,ALL,,False,False
1974279,FREE MOBILE,5G NR 3500,34 AVENUE ALPHONSE DAUDET 84130 LE PONTET,84092,"43.9528,4.8472",Immeuble,"20,9m","Copropriété, Syndic, SCI",2026-01-06,ALL,,False,False
2000647,BOUYGUES TELECOM,,13 BRUE VICTOR BALTARD 77410 CLAYE SOUILLY,77118,"48.9453,2.6717",Pylône autostable,36m,SFR,2024-04-22,CHT,Pylône tubulaire,False,False
2000647,SFR,,13 BRUE VICTOR BALTARD 77410 CLAYE SOUILLY,77118,"48.9453,2.6717",Pylône autostable,36m,SFR,2024-04-09,CHT,Pylône tubulaire,False,False
2004030,ORANGE,5G NR 700,RUE DU 19 MARS 1962 ZONE COMMERCIALE DE CABOURDY 31790 ST JORY,31490,"43.7453,1.3656",Pylône autostable,28m,TOTEM,2025-12-15,ALL,,False,False
2009930,ORANGE,LTE 700,D326 ET A4 (MONCHEUX) 51360 VAL DE VESLE,51571,"49.1478,4.2064",Pylône autostable,30m,TOTEM,2026-01-07,ALL,,False,False
2011118,BOUYGUES TELECOM,5G NR 3500,27 RUE VICTOR HUGO 64100 BAYONNE,64102,"43.4911,-1.475",Immeuble,25m,Particulier,2025-11-07,ALL,,False,False
2039882,SFR,"LTE 700, LTE 2100, LTE 2600, 5G NR 2100",D 45 RTE DE LISIEUX (CÔTE DE SARLABOT) 14160 DIVES SUR MER,14225,"49.2894,-0.0889",Pylône tubulaire,19m,HIVORY,2025-12-31,ALL,,False,False
2048908,FREE MOBILE,LTE 700,AV LOUIS LACHENAL R ANTONIO VIVALDI PARC INTERCOMMUNAL DES SPORTS (PARC INTERCOMMUNAL DES SPORTS) 91280 ST PIERRE DU PERRAY,91573,"48.6097,2.5136",Pylône tubulaire,40m,TOTEM,2026-01-19,AAV,,False,False
2052057,SFR,5G NR 3500,R DES CITÉS STADE LÉO LAGRANGE 50470 CHERBOURG EN COTENTIN,50129,"49.6406,-1.5864",Pylône tubulaire,32m,HIVORY,2025-12-31,ALL,,False,False
2052507,FREE MOBILE,LTE 900,44 RUE DU CARDINAL LEMOINE ANGLE RUE MONGE (MÉTRO CARDINAL LEMOINE L8) 75005 PARIS 05,75105,"48.8469,2.3517",Intérieur sous-terrain,0m,RATP,2026-01-06,ALL,,False,False
2059708,ORANGE,5G NR 700,ZONE D'ACTIVITÉ DU BOURGNEUF PRÈS D528 ET D794 35450 VAL D IZE,35347,"48.1853,-1.3217",Pylône autostable,40m,ATC FRANCE,2026-01-08,ALL,,False,False
2059775,ORANGE,LTE 700,1 RUE DE VERDUN 77580 PIERRE LEVEE,77361,"48.9003,3.0408",Pylône tubulaire,28m,"Commune, communauté de communes",2026-01-07,ALL,,False,False
2081187,FREE MOBILE,,69 BOULEVARD SAINT MICHEL (METRO GARE RER LUXEMBOURG) 75005 PARIS 05,75105,"48.8467,2.3406",Intérieur sous-terrain,0m,RATP,2019-01-21,CHA,GARE RER LUXEMBOURG 69 BOULEVARD SAINT MICHEL,False,False
