id_support,operateur,action,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,date_activ,is_zb,is_new
1450622,FREE MOBILE,AJO,LTE 900,RTE DE ST ANDRÉ ETS COCHERY BOURDIN CHAUSSÉE (LA GODINIÈRE) 49300 CHOLET,49099,"47.0686,-0.9092",Pylône autostable,"46,5m",HIVORY,,False,False
1450630,FREE MOBILE,AJO,LTE 900,CHEM RURAL N°9 CITÉ DE DAMELIÈRES SUD (HAUT DE ST JEAN) 54360 BLAINVILLE SUR L EAU,54076,"48.5492,6.4008",Pylône autostable,30m,HIVORY,,False,False
1451004,FREE MOBILE,AJO,LTE 900,1/3 BOULEVARD DE L'AMERICAN LÉGION IMMEUBLE OPH DE NANCY 54100 NANCY,54395,"48.6847,6.1764",Immeuble,42m,Société HLM,,False,False
1452057,FREE MOBILE,ALL,5G NR 3500, (CAP DE ROCH) 11130 SIGEAN,11379,"43.0225,2.9642",Pylône autostable,30m,HIVORY,2025-09-15,False,False
1453003,FREE MOBILE,AJO,LTE 900,RTE DE MARESCHES PRES DE LA RD 29 59269 SEPMERIES,59565,"50.2844,3.5692",Pylône autostable,30m,ATC FRANCE,,False,False
1453075,FREE MOBILE,AJO,LTE 900,CHEM HELENE BOUCHER 42153 RIORGES,42184,"46.0539,4.0083",Pylône autostable,"18,1m",HIVORY,,False,False
1453117,FREE MOBILE,AJO,LTE 900,RUE RACINE 59150 WATTRELOS,59650,"50.6967,3.2344",Pylône autostable,30m,HIVORY,,False,False
1453333,TELCO OI,AJO,"LTE 2100, LTE 2600, 5G NR 700, 5G NR 3500",RUE MAVOULA TERRAIN DE FOOT 97670 OUANGANI,97614,"-12.8367,45.1325",Mât béton,14m,Telco OI,,False,False
1453333,TELCO OI,ALL,"GSM 900, UMTS 900, UMTS 2100, LTE 800, LTE 1800",RUE MAVOULA TERRAIN DE FOOT 97670 OUANGANI,97614,"-12.8367,45.1325",Mât béton,14m,Telco OI,2019-03-05,False,False
1453333,TELCO OI,SUP,"GSM 900, UMTS 900, UMTS 2100, LTE 800, LTE 1800, LTE 2100, LTE 2600, 5G NR 700, 5G NR 3500",RUE MAVOULA TERRAIN DE FOOT 97670 OUANGANI,97614,"-12.8367,45.1325",Mât béton,14m,Telco OI,2019-03-05,False,False
1454225,FREE MOBILE,AJO,LTE 900,"16, RUE DE LA VOYETTE 59273 FRETIN",59256,"50.5817,3.1283",Pylône tubulaire,"20,6m",FREE-MOBILE,,False,False
1454378,FREE MOBILE,AJO,LTE 900,R DE LA SOLIDARITE ZI LES CHÊNES 53000 LAVAL,53130,"48.0603,-0.8056",Pylône autostable,"52,6m",HIVORY,,False,False
1454452,FREE MOBILE,AJO,LTE 900,BOIS DE SEBOURG (CHAMP DAME VILLEUL) 59990 SEBOURG,59559,"50.3286,3.6492",Pylône autostable,25m,HIVORY,,False,False
1455279,FREE MOBILE,AJO,LTE 900,RÉSERVOIR (GRAND REBBERG) 57400 SARREBOURG,57630,"48.7289,7.0583",Pylône autostable,21m,ATC FRANCE,,False,False
1456393,FREE MOBILE,AJO,LTE 900,DÉCHETTERIE DU SCLÉGEN RD 28 (MANÉ JUSTICE) 56950 CRACH,56046,"47.65,-2.9878",Pylône autostable,47m,HIVORY,,False,False
1456397,FREE MOBILE,AJO,LTE 900,CHÂTEAU D'EAU DU KNOPP (KNOPP) 57430 SARRALBE,57628,"49.0003,7.0003",Château d'eau - réservoir,35m,"Syndicat des eaux, Adduction",,False,False
1456731,FREE MOBILE,AJO,LTE 900, (LA JUDÉE) 42370 ST HAON LE VIEUX,42233,"46.0631,3.9022",Pylône autostable,"30,3m",HIVORY,,False,False
1458931,FREE MOBILE,AJO,LTE 900,ZAC DU BOIS VERT PRÈS DE LA RD 951 (LE BOIS VERT) 45640 SANDILLON,45300,"47.8492,2.0467",Pylône autostable,30m,ATC FRANCE,,False,False
