id_support,operateur,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,action,infos,liste_azimut,date_activ,is_zb,is_new
1505358,FREE MOBILE,5G NR 700,"1, RUE DE LA CHAPELLE 67540 OSTWALD",67365,"48.555,7.7122",Immeuble,43m,Société HLM,AJA,,130|250|350,,False,False
1510224,FREE MOBILE,5G NR 700,RUE DU STADE 25530 VERCEL VILLEDIEU LE CAMP,25601,"47.1772,6.39",Pylône autostable,32m,TDF,AJA,,30|130|230,,False,False
1518706,FREE MOBILE,LTE 800,CAUMONT & ST MARTIN-DU-PUY (CASTELMORON) 33540 ST MARTIN DU PUY,33446,"44.6808,-0.0175",Pylône autostable,"42,5m",Conseil Départemental,AJO,,40|220|310,,False,False
1531603,FREE MOBILE,5G NR 700, (LA COTE) 25390 ORCHAMPS VENNES,25432,"47.1336,6.5189",Pylône autostable,25m,TDF,AJA,,60|150|240,,False,False
1532197,FREE MOBILE,5G NR 700,6 ROND-POINT PASTEUR 91330 YERRES,91691,"48.6947,2.4833",Immeuble,13m,"Copropriété, Syndic, SCI",AJA,,40|160|280,,False,False
1535062,FREE MOBILE,5G NR 700,RUE MONTESPAN 91080 EVRY COURCOURONNES,91228,"48.6353,2.4389",Immeuble,42m,"Copropriété, Syndic, SCI",AJA,,70|180|280,,False,False
1536140,FREE MOBILE,5G NR 700,RUE DE GIROGOUTTE 68240 FRELAND,68097,"48.1731,7.1933",Pylône autostable,20m,TDF,AJA,,160|310,,False,False
1541001,FREE MOBILE,LTE 800, (LE BRESEIL) 11220 COUSTOUGE,11110,"43.0453,2.7419",Château d'eau - réservoir,"7,6m","Commune, communauté de commune",AJO,,120|330,,False,False
1541026,FREE MOBILE,LTE 800, (VENTAJOU) 34210 FELINES MINERVOIS,34097,"43.3539,2.5819",Pylône autostable,14m,HIVORY,AJO,,60|150,,False,False
1541520,FREE MOBILE,LTE 800,SERRE LA BLACHE (LES PLANCHES) 07110 LABOULE,07118,"44.5867,4.1506",Pylône autostable,"16,3m",HIVORY,AJO,,85,,False,False
1541560,FREE MOBILE,LTE 800,CD N°6 (LES CAZALOUS) 34210 CASSAGNOLES,34054,"43.39,2.6217",Pylône autostable,14m,HIVORY,AJO,,90|190,,False,False
1545028,FREE MOBILE,5G NR 700,66 AV DE LA REPUBLIQUE 94210 ST MAUR DES FOSSES,94068,"48.7994,2.4856",Immeuble,21m,"Copropriété, Syndic, SCI",AJA,,65|210|320,,False,False
1545672,FREE MOBILE,LTE 800,CHEMIN DE LACASSAGNE (LACASSAGNE) 15220 ROANNES ST MARY,15163,"44.8544,2.385",Pylône autostable,24m,TDF,AJO,,70,,False,False
1549089,FREE MOBILE,LTE 800, (LE SERRE DE LA CHAUD) 07410 ARLEBOSC,07014,"45.0278,4.6358",Pylône autostable,12m,Conseil Départemental,AJO,,65|155|275,,False,False
1552040,FREE MOBILE,LTE 800,CHEMIN RURAL DE JEANMARE (SERRE DES FOURCHES) 07270 ST BARTHELEMY GROZON,07216,"44.9639,4.6608",Pylône autostable,35m,Conseil Départemental,AJO,,160|295,,False,False
1553394,FREE MOBILE,LTE 800, (MAZIERAS SUD) 24400 ISSAC,24211,"45.0072,0.4686",Pylône autostable,35m,Conseil Départemental,AJO,,50|190|300,,False,False
1555528,FREE MOBILE,"LTE 2100, 5G NR 700",LE CROISSANT HUON (CROAZ-HENT) 22810 PLOUNEVEZ MOEDEC,22228,"48.5444,-3.4183",Pylône autostable,40m,TOTEM,ALL,,70|180|300,,False,False
1565811,FREE MOBILE,LTE 800,PRÈS D 117 (LA BUSSIÈRE) 21350 DAMPIERRE EN MONTAGNE,21224,"47.4356,4.5617",Pylône autostable,25m,TOTEM,AJO,,30|150|270,,False,False
1570003,FREE MOBILE,5G NR 3500,RUE PIERRE CURIE 07500 GUILHERAND GRANGES,07102,"44.9364,4.8839",Pylône tubulaire,"23,5m",FREE-MOBILE,ALL,,80|220|310,,False,False
1575346,FREE MOBILE,5G NR 700,RUE CHARLES SYNDIC 49100 ANGERS,49007,"47.4475,-0.5533",Bâtiment,19m,Société HLM,AJA,,0|120|240,,False,False
1599001,FREE MOBILE,LTE 800,CHEMIN DU COLOMBIER (LES PATIS) 30200 LA ROQUE SUR CEZE,30222,"44.1917,4.5342",Pylône autostable,18m,Conseil Départemental,AJO,,30|230|320,,False,False
1603122,FREE MOBILE,LTE 800,PRÈS DÉPARTEMENTALE 74 (SEURLOT) 10200 MAISONS LES SOULAINES,10219,"48.2833,4.7953",Pylône autostable,34m,Conseil Départemental,AJO,,310,,False,False
1603958,FREE MOBILE,LTE 800,D.82 (LANDE DE L'ETANG) 24450 MIALET,24269,"45.5664,0.9125",Pylône autostable,35m,Conseil Départemental,AJO,,60|210|320,,False,False
1609844,FREE MOBILE,LTE 800,D960 (LA FOSSE AU POTIER) 10200 SOULAINES DHUYS,10372,"48.3722,4.7211",Pylône autostable,33m,Conseil Départemental,AJO,,80|150,,False,False
1609941,FREE MOBILE,LTE 800, (LA COTOTE) 10200 SAULCY,10366,"48.2819,4.8339",Pylône autostable,34m,Conseil Départemental,AJO,,170,,False,False
1610032,FREE MOBILE,LTE 800,VC 16 (SOURZAC HAUT) 15200 MEALLET,15123,"45.2511,2.4381",Pylône autostable,32m,Conseil Départemental,AJO,,50|180|310,,False,False
1610049,FREE MOBILE,"LTE 2100, 5G NR 700",ROUTE DE VINSOBRES CENTRE DE LOISIR (LA COTE) 84600 VALREAS,84138,"44.3717,5.0067",Pylône autostable,15m,BOUYGUES,ALL,,40|310,,False,False
1610080,FREE MOBILE,LTE 800,SOULAN DE MAGNAN (PAGUERE DE MEILHAN) 31230 CAZAC,31593,"43.3475,0.9431",Pylône tubulaire,20m,CELLNEX,AJO,,80|200|320,,False,False
1610281,FREE MOBILE,LTE 800,CHEMIN RURAL N°6 DU COL DU PARADIS (AL BOSC) 11330 BOUISSE,11044,"42.9828,2.4481",Pylône autostable,16m,BOUYGUES,AJO,,40,,False,False
