id_support,operateur,technologie,adresse,code_insee,coordonnees,type_support,hauteur_support,proprietaire_support,date_activ,action,infos,is_zb,is_new
1796253,BOUYGUES TELECOM,LTE 2100,ALLEE DES CYGNES (LAUTERWIES) 67630 LAUTERBOURG,67261,"48.9781,8.1794",Pylône tubulaire,"39,8m",CELLNEX,2026-04-24,ALL,,False,False
1801705,BOUYGUES TELECOM,"LTE 700, 5G NR 3500",250 AV DES DIABLES BLEUS CAMPING LES ROMARINS (LE POUS - GRANDE CORNICHE) 06360 EZE,06059,"43.7233,7.3361",Pylône arbre,14m,HIVORY,2026-04-27,ALL,,False,False
1819080,SFR,5G NR 3500,RUE DE LA PÂLE  25400 AUDINCOURT,25031,"47.4708,6.8483",Pylône tubulaire,"26,5m",HIVORY,,AJO,,False,False
1825129,BOUYGUES TELECOM,"LTE 700, LTE 1800, LTE 2100, 5G NR 2100",CHEMIN RURAL DE LA SALETTE (CHATAVILAIN) 69170 JOUX,69102,"45.8869,4.3639",Pylône autostable,19m,TDF,,AJO,,False,False
1826993,SFR,"LTE 700, LTE 2600",ROUTE DE SALLES (CACHEPOILS) 79800 LA MOTHE ST HERAY,79184,"46.3642,-0.11",Château d'eau - réservoir,"30,9m","Syndicat des eaux, Adduction",2026-05-05,ALL,,False,False
1828739,ORANGE,"LTE 700, 5G NR 2100", (MONCEAUX) 72210 SOULIGNE FLACE,72339,"47.9817,-0.0078",Pylône autostable,"30,4m",TDF,,AJO,,False,False
1828739,ORANGE,LTE 2100, (MONCEAUX) 72210 SOULIGNE FLACE,72339,"47.9817,-0.0078",Pylône autostable,"30,4m",TDF,,SUP,,False,False
1828751,ORANGE,LTE 700,D 22 LGV-BPL (LA BIGOTIÈRE) 72540 CRANNES EN CHAMPAGNE,72107,"47.9667,-0.0411",Pylône autostable,32m,TDF,2026-05-06,ALL,,False,False
1830028,BOUYGUES TELECOM,5G NR 3500,AV DE LA FORET STADE MUNICIPAL 85160 ST JEAN DE MONTS,85234,"46.7842,-2.0639",Pylône tubulaire,"27,6m",BOUYGUES,2026-04-30,ALL,,False,False
1830380,SFR,LTE 700, (L'ETINIÈRE) 72430 CHANTENAY VILLEDIEU,72059,"47.9136,-0.1917",Pylône autostable,"30,4m",TDF,2026-05-05,ALL,,False,False
1834449,BOUYGUES TELECOM,,VERS LE BUSSON (LA RABARDIÈRE) 35370 BRIELLES,35042,"48.0158,-1.1011",Pylône autostable,31m,TDF,2025-04-24,CHA,La Rabardière,False,False
1834449,FREE MOBILE,,VERS LE BUSSON (LA RABARDIÈRE) 35370 BRIELLES,35042,"48.0158,-1.1011",Pylône autostable,31m,TDF,2018-08-30,CHA,La Rabardière,False,False
